"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ap2a2",0.089248058712684,-1.02727949867426,0.122,0.196,1
"Abca9",0.0893792789733992,-0.905626312501353,0.111,0.183,1
"Herc1",0.0896151533943659,-1.35153859670427,0.067,0.127,1
"Zmynd8",0.089801749678074,-1.25769616018347,0.044,0.101,1
"Golga3",0.0899215675463269,-1.62191054614362,0.044,0.102,1
"Ktn1",0.0902294102906602,-1.34060954799461,0.067,0.127,1
"Fem1b",0.0904895788848934,-1.13643344810121,0.044,0.101,1
"Lman1",0.0907197949344624,-1.34283501117546,0.044,0.101,1
"Arl8b",0.091015072874588,-0.514598091989761,0.222,0.312,1
"Mtpn",0.0924713945081127,-0.549114382513145,0.167,0.253,1
"Hps4",0.0931515854401565,-1.10052085704256,0.056,0.115,1
"Itpripl2",0.0932833863294642,-0.787142921217437,0.044,0.101,1
"Tmbim6",0.0934937402653254,-0.362423057252653,0.344,0.443,1
"Bsg",0.0937366617197469,-0.300700313646648,0.556,0.636,1
"Tgoln1",0.0939475986701401,-1.35628349302489,0.078,0.138,1
"Rnf121",0.0944747193126116,-1.37903046675424,0.056,0.113,1
"Gnl3",0.0946684795214135,-1.41032130914903,0.056,0.111,1
"Ly6e",0.0950207209756937,-1.03334275656249,0.156,0.226,1
"Yme1l1",0.0951501203830111,-0.989498288236019,0.111,0.181,1
"Slc25a36",0.0954066122496228,-0.832614230573381,0.089,0.158,1
"Tmem128",0.0954903870494125,-0.785916617205692,0.089,0.16,1
"Ehmt2",0.0958352214506499,-0.908857267104429,0.056,0.115,1
"Anp32b",0.0965913425240914,-0.556935275083869,0.3,0.366,1
"Timm10",0.0967372498761606,-0.758290323448515,0.111,0.183,1
"Pum1",0.0980931424713865,-0.917188583691986,0.044,0.101,1
"Selenom",0.0984017059900322,-0.565636083355444,0.044,0.102,1
"Myh9",0.0986222337307,-0.579798482265391,0.233,0.307,1
"Nxf1",0.0986529013257502,-0.641287076084301,0.244,0.329,1
"Slc50a1",0.0992006073234084,-0.979595832426236,0.089,0.154,1
"Slf2",0.0992191644875155,-0.979874218692341,0.1,0.167,1
"Plek",0.0998003814726533,-0.464632360308853,0.289,0.381,1
"Snx3",0.100199988983788,-0.391223812804313,0.556,0.607,1
"Ep300",0.100473748421271,-0.642006035406644,0.078,0.142,1
"Vav2",0.100956339638657,-1.21933081266915,0.056,0.111,1
"P2ry6",0.100971733160098,-0.691563118772041,0.244,0.323,1
"Galnt1",0.101221950030632,-0.666285004699445,0.067,0.131,1
"Bloc1s1",0.101246141563455,-0.408030111799429,0.256,0.357,1
"Prkacb",0.101915560950639,-1.33757806522342,0.056,0.111,1
"Tspan14",0.102150793528136,-1.55885276103715,0.056,0.11,1
"Naglu",0.102397877950705,-1.1903356208794,0.056,0.111,1
"Tmem147",0.102582041378489,-0.700373301508627,0.189,0.264,1
